Название,Инициатор,Источник финансирования,Место,"cost, mln",Начало,Конец,x,y,crs
Цементный завод,ПАО «Агентство по привлечению и защите инвестиций Республики Тыва»,Внебюджетные средства ,"Улуг-кожуун,  п. Хайыракан ",800,,2025,94.437182,51.719845,EPSG:4326
Лесоперерабатывающее предприятие  ,ПАО «Агентство по привлечению и защите инвестиций Республики Тыва»,Внебюджетные средства ,г. Кызыл,500,,2020,51.719086,94.437757,EPSG:4327
Строительство железной дороги Курагино-Кызыл и продление ее в Китай,Министерство дорожнотранспортного комплекса Республики Тыва ,Внебюджетные средства ,Кызыл-Курагино,272300,,2023,,,EPSG:4328
Создание трансграничного автомобильного коридора «Красноярск - Абакан - Кызыл – Хандагайты – Улангом - Ховд – Урумчи»,Министерство дорожнотранспортного комплекса Республики Тыва ,Внебюджетные средства ,г. Кызыл,12000,,2021,,,EPSG:4329
Реконструкция и обустройство автомобильного пункта пропуска Хандагайты (Россия) – Боршоо (Монголия) для перевода его в многосторонний режим работы,Агентство по внешнеэкономическим связям Республики Тыва ,Федеральные  средства,"Овюрский кожуун, с.Хандагайты","617,1",,2021,92.076706,50.731069,EPSG:4330
"Создание транспортнологистического центра с сертифицированным складом временного хранения на автомобильном пункте пропуска «Хандагайты» (топливозаправочный склад, гостиница, элеватор, предприятия по переработке шерсти и производству мясных полуфабрикатов) ",Министерство дорожнотранспортного комплекса Республики Тыва ,Внебюджетные средства ,"Овюрский кожуун, с.Хандагайты",850,,2021,92.076706,50.731069,EPSG:4331
Освоение ЧангызХадынского месторождения каменных углей,Министерство природных ресурсов и экологии Республики Тыва,Внебюджетные средства ,ДзунХемчикский кожуун,5500,,2021,91.523613,51.11897,EPSG:4332
Освоение КараБельдирского золоторудного месторождения,Министерство природных ресурсов и экологии Республики Тыва,Внебюджетные средства ,Каа-Хемский кожуу,3200,,2021,95.734987,51.308718,EPSG:4333
Солчурское свинцово-цинковое месторождение,Министерство природных ресурсов и экологии Республики Тыва,Внебюджетные средства ,Овюрский кожуун ,18000,,2021,92.712201,50.894399,EPSG:4334
Кызык-Чадрское золото-медномолибденовое месторождение,Министерство природных ресурсов и экологии Республики Тыва,Внебюджетные средства ,Пий-Хемский кожуун ,350,,2021,52.290855,94.127398,EPSG:4335
Карасугское месторождение редкоземельных металлов ,Министерство природных ресурсов и экологии Республики Тыва,Внебюджетные средства ,"в 180 км к западу от г. Кызыла, около 10,5 км от п. АкДуруг",4400,,2021,51.396186,92.197915,EPSG:4336
Освоение АкСугского меднопорфирового месторождения ,ООО «Голевская горнорудная компания» (ОАО «ГМК «Норильский никель»),Внебюджетные средства ,Тоджинский кожуун,48000,2004,2027,96.802051,52.701197,EPSG:4338
Освоение КызылТаштыгского месторождения полиметаллических руд ,"Лунсин ООО «Лунсин» (инвестор «Хэйлунцзянская горнорудная компания», КНР) ",Внебюджетные средства ,Тоджинский кожуун,10000,2006,2031,96.802051,52.701197,EPSG:4339
Освоение Тарданского золоторудного месторождения ,ООО «Тардан Голд» (Шведская корпорация Auriant Mining AB (прежнее название - «Central Asia Gold») ,Внебюджетные средства ,Каа-Хемский кожуу,207,2004,2032,95.734987,51.308718,EPSG:4340
Строительство железнодорожной линии ЭлегестКызыл-Курагино в увязке с освоением Элегестского месторождения Улуг-Хемского угольного бассейна ,ООО «Тувинская энергетическая компания» ,Внебюджетные средства ,Элегест-КызылКурагино ,195000,2013,2023,92.66768,53.888547,EPSG:4341
Строительство угледобывающего комплекса на Межегейском месторождении Улуг-Хемского угольного бассейна ,ООО «УК «Межегейуголь» (ООО «Евраз-Холдинг») ,Внебюджетные средства ,Тандынский кожуун,50000,2010,2030,94.617177,51.144094,EPSG:4342
Разведка и добыча каменного угля Улуг-Хемского угольного бассейна в Республике Тыва ,ООО «УлугхемУголь» (ОАО «СеверстальРесурс») ,Внебюджетные средства ,Тандынский кожуун,790004,2010,2030,94.617177,51.144095,EPSG:4343
